Applicants MCC Licence No;Applicant Name;MCC Medicine Reg. No.;Nappi Code;ATC 4 ;Medicine Schedule;Medicine Proprietary Name;Active Ingredients;Strength;Unit;Dosage Form;Pack Size;Quantity;Manufacturer Price;Logistics Fee;VAT;SEP;Unit Price;Effective Date;Status;Originator or Generic;12 Months Volume of Sales
0000000125;Abbott Laboratories SA Pty Ltd;R/3.1/71;710849109;M01AE;S3;Brufen ;Ibuprofen;600;mg;TAB;20;1;44,31;7,51;7,77;59,60;2,98;;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;R/3.1/71;710849125;M01AE;S3;Brufen ;Ibuprofen;600;mg;TAB;100;1;223,09;35,20;38,74;297,03;2,97;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;Q/3.1/323;710857004;M01AE;S2;Brufen for children;Ibuprofen;100;mg/5ml;SUS;100;1;38,85;6,06;6,74;51,65;0,52;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;32/7.1.3/0136;712382001;C02AC;S3;Cynt 0,2;Moxonidine;0,2;mg;TAB;28;1;169,79;17,62;28,11;215,52;7,70;;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;32/7.1.3/0136;712383001;C02AC;S3;Cynt 0,4;Moxonidine;0,4;mg;TAB;28;1;171,66;18,10;28,46;218,22;7,79;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;A39/7.1.3/0508;714624001;C09BB;S3;Tarka Bilayer;Verapamil HCl/Trandolapril;180;mg;TAB;30;1;305,17;35,76;51,14;392,07;13,07;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;A39/7.1.3/0547;714625001;C09BB;S3;Tarka Bilayer;Verapamil HCl/Trandolapril;240;mg;TAB;30;1;305,17;35,76;51,14;392,07;13,07;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;Q/11.2/165;715476009;A03AA;S2;Colofac 135 mg;Mebeverine;135;mg;TAB;20;1;48,72;7,66;8,46;64,84;3,24;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;Q/11.2/165;715476017;A03AA;S2;Colofac 135mg;Mebeverine;135;mg;TAB;100;1;254,80;27,03;42,27;324,11;3,24;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;42/21.3/0670;716571001;H03A0;S3;Synthroid 25 µg;Levothyroxine Sodium;25;µg;TAB;90;1;47,07;2,82;7,48;57,37;0,64;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;42/21.3/0671;716574001;H03A0;S3;Synthroid 50 µg;Levothyroxine Sodium;50;µg;TAB;90;1;61,38;3,68;9,76;74,83;0,83;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;42/21.3/0673;716575001;H03A0;S3;Synthroid 88 µg;Levothyroxine Sodium;88;µg;TAB;90;1;77,76;4,67;12,36;94,79;1,05;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;42/21.3/0674;716576001;H03A0;S3;Synthroid 100 µg;Levothyroxine Sodium;100;µg;TAB;90;1;86,97;5,22;13,83;106,01;1,18;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;42/21.3/0675;716577001;H03A0;S3;Synthroid 112 µg;Levothyroxine Sodium;112;µg;TAB;90;1;93,44;5,61;14,86;113,90;1,27;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;T/30.1/581;732826004;J07BB;S2;Influvac subunit 2014;Inactivated Influenza Vaccine;0,5;mg;INJ;0,5;1;49,22;8,69;8,69;66,59;133,17;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;H646 Act 101 of 1965;734071001;C08DA;S3;Isoptin  40mg  ;Verapamil;40;mg;TAB;100;1;85,10;13,05;14,72;112,87;1,13;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;H647 Act 101 of 1965;734136005;C08DA;S3;Isoptin 2ml  ;Verapamil;5;mg;INJ;5;1;135,88;11,30;22,08;169,26;33,85;01 April 2018;;originator;
0000000125;Abbott Laboratories SA Pty Ltd;V/7.1/280;734373007;C08DA;S3;Isoptin SR;Verapamil;240;mg;SRT;30;1;164,41;28,04;28,87;221,32;7,38;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;V/7.1/280;734373015;C08DA;S3;Isoptin  SR ;Verapamil;240;mg;TAB;100;1;572,90;68,70;96,24;737,84;7,38;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;J/27/334;742317005;M01CC;S4;Metalcaptase ;Penicillamine;300;mg;CAP;100;1;2 014,67;118,46;319,97;2 453,09;24,53;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;C/11.10/59;752479016;A09AA;S1;Pankreoflat  ;Dimethicone;80;mg;TAB;100;1;296,18;31,49;49,15;376,82;3,77;01 April 2018;;Originator;
;;;;;;;Pancreatin;170;mg;;;;;;;;;;;;
0000000125;Abbott Laboratories SA Pty Ltd;C/11.10/59;752479024;A09AA;S1;Pankreoflat  ;Dimethicone;80;mg;TAB;25;1;70,83;11,07;12,29;94,19;3,77;01 April 2018;;Originator;
;;;;;;;Pancreatin;170;mg;;;;;;;;;;;;
0000000125;Abbott Laboratories SA Pty Ltd;B1041 Act 101 of 1965;752649019;N02AA;S6;Paracodin ;Dihydrocodeine;12,1;mg/5ml;SYR;100;1;19,23;3,61;3,43;26,26;0,26;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;B1041 Act 101 of 1965;752649027;N02AA;S6;Paracodin ;Dihydrocodeine;12,1;mg/5ml;SYR;200;1;38,45;6,20;6,70;51,35;0,26;;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;F/1.2/161;757888003;N06AA;S5;Prothiaden;Dosulepin;25;mg;CAP;100;1;203,24;30,62;35,08;268,94;2,69;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;R/6.2/149;784869014;C01BC;S4;Rythmol;Propafenone;150;mg;TAB;100;1;649,21;58,99;106,23;814,43;8,14;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;R/6.2/150;784877017;C01BC;S4;Rythmol;Propafenone;300;mg;TAB;100;1;1 299,07;129,41;214,27;1 642,75;16,43;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;Y/3.1/13;793671019;M01AE;S3;Brufe Retard;Ibuprofen;800;mg;TAB;60;1;310,56;38,79;52,40;401,75;6,70;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;S/21.8.2/165;795682018;G03DB;S4;Duphaston 10Mg  ;Dydrogesterone;10;mg;TAB;30;1;212,05;23,21;35,29;270,55;9,02;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;H630 Act 101 of 1965;802638007;C01CA;S1;Phenylephrine HCL  ;Phenylephrine;10;mg/ml;INJ;10;1;690,64;55,95;111,99;858,57;85,86;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;H630 Act 101 of 1965;802638008;C01CA;S1;Phenylephedrine;Phenylephrine HCL;10;mg/ml;INJ;5;1;345,32;27,97;55,99;429,29;85,86;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;28/7.1.3/0261;805033017;C09AA;S3;Mavik (was Gopten) ;Trandolapril;0,5;mg;CAP;30;1;145,58;16,25;24,27;186,11;6,20;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;28/7.1.3/0263;805068015;C09AA;S3;Mavik (was Gopten) ;Trandolapril;2;mg;CAP;30;1;143,95;17,88;24,27;186,11;6,20;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;X/1.2/60;805203028;N06AB;S5;Luvox  100;Fluvoxamine;100;mg;TAB;30;1;362,62;37,58;60,03;460,23;15,34;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;27/7.1/0519;806358009;G04CA;S4;Hytrin ;Terazosin;1;mg;TAB;10;1;92,53;10,11;15,40;118,03;11,80;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;27/7.1/0520;806366028;G04CA;S4;Hytrin ;Terazosin;2;mg;TAB;28;1;211,49;23,40;35,23;270,12;9,65;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;27/7.1/0521;806374004;G04CA;S4;Hytrin ;Terazosin;5;mg;TAB;28;1;385,87;42,19;64,21;492,27;17,58;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;27/7.1/0522;810207001;G04CA;S4;Hytrin ;Terazosin;10;mg;TAB;28;1;679,10;78,11;113,58;870,79;31,10;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;28/20.1.1/0264;813826004;J01FA;S4;Klacid i v;Clarithromycin;500;mg;INJ;10;1;208,35;14,36;33,41;256,12;25,61;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;28/11.1/0645;822434008;A09AA;S1;Creon 25000;Pancreatin;300;mg;CAP;100;1;1 517,19;93,93;241,67;1 852,79;18,53;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;28/11.1/0645;822434009;A09AA;S1;creon 25000;Pancreatin;300;mg;CAP;20;1;303,47;18,79;48,34;370,59;18,53;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;Q/20.1.1/248;828769001;D10AF;S4;Eryderm  Top Soln 60ml  ;Erythromycin;1200;mg/60ml;LOT;60;1;100,31;12,50;16,92;129,73;2,16;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;28/20.1.1/0035;830046003;J01FA;S4;Klacid P125  ;Clarithromycin;125;mg/5ml;SUS;50;1;109,19;10,38;17,94;137,51;2,75;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;29/20.1.1/0190;830054006;J01FA;S4;Klacid P250  ;Clarithromycin;250;mg/5ml;SUS;50;1;189,09;17,98;31,06;238,12;4,76;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;31/7.1.3/0631;836680006;C09BB;S3;Tarka;Verapamil HCL;180;mg;SRC;30;1;277,94;32,57;46,58;357,08;11,90;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;31/20.2.2/0379;841552002;J01FA;S4;Klacid XL ;Clarithromycin;500;mg;SRT;5;1;145,57;13,12;23,80;182,50;36,50;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;31/20.2.2/0379;841552003;J01FA;S4;Klacid XL 10;Clarithromycin;500;mg;TAB;10;1;299,80;17,59;47,61;365,00;36,50;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;33/11.3/0025;847844005;A08AA;S5;Reductil 10  ;Sibutramine;10;mg;CAP;30;1;244,08;30,32;41,16;315,57;10,52;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;32/7.1.3/0139;851892019;C02AC;S3;Physiotens 0,2;Moxonidine;0,2;mg;TAB;28;1;223,10;22,88;36,90;282,87;10,10;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;32/7.1.3/0140;851906001;C02AC;S3;Physiotens 0,3;Moxonidine;0,299;mg;TAB;28;1;223,59;22,38;36,90;282,87;10,10;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;32/7.1.3/0141;851914004;C02AC;S3;Physiotens 0,4;Moxonidine;0,4;mg;TAB;28;1;223,07;22,90;36,90;282,87;10,10;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;33/11.3/0026;853534004;A08AA;S5;Reductil 15  ;Sibutramine;15;mg;CAP;30;1;287,89;39,73;49,14;376,76;12,56;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;33/11.1/0340;887162002;A09AA;S1;Creon 10000;Pancreatin;150;mg;CAP;100;1;631,34;39,09;100,56;770,99;7,71;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;33/11.1/0340;887162003;A09AA;S1;Creon 10000;Pancreatin;150;mg;CAP;20;1;126,31;7,82;20,12;154,24;7,71;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;44/5.6/0458;3000557001;N07CA;S3;Vertin 24;Betahistine dihydrochloride;24;mg;TAB;20;1;166,64;16,48;27,47;210,59;10,53;30 November 2018;;Generic;
0000001151;Abbvie (Pty) Ltd;44/20.2.8/0128;721595001;J05AE;S4;Norvir 100mg Tablets;Ritonavir;100;mg;TAB;60;1;54,53;1,69;8,43;64,65;1,08;01 April 2018;;Originator;
0000001151;AbbVie (Pty) Ltd;50/30.1/0148   ;3000492001;J06BB;S4;Synagis ;Palivizumab;100;mg/ml;INJ;0,5;1;5 632,43;225,31;878,66;6 736,40;13 472,80;31 October 2018;;Originator;
0000001151;AbbVie (Pty) Ltd;50/30.1/0148;3000493001;J06BB;S4;Synagis ;Palivizumab;100;mg/ml;INJ;1;1;11 264,86;450,62;1 757,32;13 472,80;13 472,80;31 October 2018;;Originator;
0000001151;AbbVie (Pty) Ltd ;35/4/0193;700642006;N01BB;S4;Chirocane 5 mg;Levobupivacaine;5;mg/ml;INJ;10;10;586,44;28,33;92,22;706,99;7,07;01 April 2018;;Originator;
0000001151;AbbVie (Pty) Ltd ;35/4/0194;700644001;N01BB;S4;Chirocane 7.5 mg;Levobupivacaine;7,5;mg/ml;INJ;10;10;724,35;35,72;114,01;874,09;8,74;;;Originator;
0000001151;AbbVie (Pty) Ltd ;35/20.2.8/0254;700922003;J05AE;S4;Kaletra Solution;Lopinavir;133,3;mg;CAP;180;1;378,93;32,34;61,69;472,95;2,63;01 April 2018;;Originator;
;;;;;;;Ritonavir;20;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;35/20.2.28/0255;700924019;J05AE;S4;Kaletra Solution;Lopinavir;80;mg;SOL;60;5;267,07;22,78;43,48;333,33;1,11;01 April 2018;;Originator;
;;;;;;;Ritonavir;20;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;37/30.2/0252;705335001;L04AB;S4;Humira 40 mg;Adalimumab;40;mg;INJ;0,8;2;7 558,93;400,62;1 193,93;9 153,49;5 720,93;;;Originator;
0000001151;AbbVie (Pty) Ltd ;G/2.1/209;709643001;N01AB;S5;Forane;Isoflurane ;250;ml;INF;100;1;622,03;34,90;98,54;755,48;7,55;01 April 2018;;Originator;
0000001151;AbbVie (Pty) Ltd ;41/20.2.8/0217;710028001;J05AE;S4;Aluvia;Lopinavir;200;mg;TAB;120;1;211,64;18,05;34,45;264,14;2,20;;Discontinued;Originator;
;;;;;;;Ritonavir;50;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;41/20.2.8/0217;710028002;J05AE;S4;Aluvia;Lopinavir;200;mg;TAB;112;1;249,27;21,26;40,58;311,11;2,78;01 April 2018;;Originator;
;;;;;;;Ritonavir;50;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;43/20.2.8/0356;715433001;J05AE;S4;Aluvia 100/25;Lopinavir;100;mg;TAB;60;1;52,92;4,51;8,61;66,05;1,10;01 April 2018;Discontinued;Originator;
;;;;;;;Ritonavir;25;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;43/20.2.8/0356;715433002;J05AE;S4;Aluvia 100/25;Lopinavir;100;mg;TAB;56;1;62,33;5,31;10,15;77,79;1,39;01 April 2018;;Originator;
;;;;;;;Ritonavir;25;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;37/30.2/0252;716266001;L04AB;S4;Humira 40 mg;Adalimumab;40;mg/0.8ml;PED;0,8;2;7 558,93;400,61;1 193,93;9 153,48;5 720,92;;;Originator;
0000001151;AbbVie (Pty) Ltd ;S/21.10/51;785504001;L02AE;S4;Lucrin  ;Leuprorelin;5;mg/ml;INJ;2,8;1;832,15;53,70;132,88;1 018,73;363,83;01 April 2018;;Generic;
0000001151;AbbVie (Pty) Ltd ;2/10.2.2/211;797928006;R07AA;S4;Survanta ;Beractant;25;mg/ml;INJ;8;1;6 817,92;301,28;1 067,88;8 187,07;1 023,38;10 August 2018;;Originator;
0000001151;AbbVie (Pty) Ltd ;27/21.10/0370;806382007;L02AE;S4;Lucrin 3.75;Leuprorelin;3,75;mg;INJ;2;1;1 691,79;106,88;269,80;2 068,47;1 034,24;01 April 2018;;Generic;
0000001151;AbbVie (Pty) Ltd ;29/2.1/0748;820326003;N01AB;S5;Ultane;Sevoflurane;100;ml;SLN;250;1;1 602,14;102,13;255,64;1 959,91;7,84;;;Originator;
0000001151;AbbVie (Pty) Ltd ;F/2.1/115;835773019;N01AB;S5;Ethrane;Enflurane;250;ml;SLN;250;1;864,65;38,56;135,48;1 038,69;4,15;01 April 2018;;Originator;
0000001151;AbbVie (Pty) Ltd ;34/20.2.8/0175;836095014;J05AE;S4;Norvir Sec 100 mg;Ritonavir;100;mg;CAP;84;1;69,09;5,79;11,23;86,12;1,03;;;Originator;
0000001151;AbbVie (Pty) Ltd ;31/20.2.8/0217;838527035;J05AE;S4;Norvir 80 mg/ml;Ritonavir;80;mg/ml;SOL;90;1;61,88;5,31;10,08;77,27;0,86;01 April 2018;;Originator;
0000001151;AbbVie (Pty) Ltd ;32/21.10/0317;875295002;L02AE;S4;Lucrin  11.25;Leuprolide Acetate;11,25;mg;INJ;2;1;4 225,30;272,92;674,73;5 172,96;2 586,48;01 April 2018;;Generic;
0000001151;AbbVie (Pty) Ltd ;34/30.2/0240;883856005;J06BB;S4;Synagis 50 mg;Palivizumab;50;mg;INJ;1;1;6 664,12;266,57;1 039,60;7 970,29;7 970,29;;;Originator;
0000001151;AbbVie (Pty) Ltd ;34/30.2/0241;883864001;J06BB;S4;Synagis 100 mg;Palivizumab;100;mg/ml;INJ;1;1;10 779,79;431,19;1 681,65;12 892,63;12 892,63;01 April 2018;;Originator;
;;;;;;;Trandolapril;2;mg;;;;;;;;;;;;
0000001151;AbbVie (Pty) Ltd ;2/10.2.2/211;894184008;R07AA;S4;Survanta;Beractant;25;mg/ml;INJ;4;1;3 408,32;151,28;533,94;4 093,54;1 023,38;10 August 2018;;Originator;
0000001152;Abex Pharmaceutica (Pty) Ltd;43/7.1.3/0806;716476001;C09DA;S3;Hytenza Co 50/12,5;Losartan potassium;50;mg;FCT;30;1;75,36;8,34;12,56;96,26;3,21;01 April 2018;;Generic;
;;;;;;;Hydrochlorothiazide;12,5;mg;;;;;;;;;;;;
0000001152;Abex Pharmaceutica (Pty) Ltd;43/7.1.3/0804;717024001;C09CA;S3;Hytenza 50;Losartan potassium;50;mg;FCT;30;1;70,59;7,84;11,76;90,19;3,01;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;43/7.1.3/0805;717042001;C09CA;S3;Hytenza 100;Losartan potassium;100;mg;FCT;30;1;80,10;8,90;13,35;102,35;3,41;;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;43/7.1.3/0807;717084001;C09DA;S3;Hytenza Co 100/25;Losartan potassium;100;mg;FCT;30;1;86,46;9,60;14,41;110,47;3,68;01 April 2018;;Generic;
;;;;;;;Hydrochlorothiazide;25;mg;;;;;;;;;;;;
0000001152;Abex Pharmaceutica (Pty) Ltd;43/7.1.5/0983;720645001;G04BE;S4;Vitrixa 50;Sildenafil;50;mg;FCT;4;1;46,06;2,94;7,35;56,35;14,09;02 September 2018;;Generic ;
0000001152;Abex Pharmaceutica (Pty) Ltd;43/7.1.5/0984;720646001;G04BE;S4;Vitrixa 100;Sildenafil;100;mg;FCT;4;1;95,88;6,12;15,30;117,30;29,33;02 September 2018;;Generic ;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0436;721056001;A02BC;S4;Nexiflux 20;Esomeprazole;20;mg;TAB;28;1;171,37;15,41;28,02;214,80;7,67;;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0436;721056002;A02BC;S4;Nexiflux 20;Esomeprazole;20;mg;TAB;14;1;85,69;7,71;14,01;107,40;7,67;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0436;721056003;A02BC;S4;Nexiflux 20;Esomeprazole;20;mg;TAB;30;1;183,69;16,54;30,03;230,25;7,68;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0437;721057001;A02BC;S4;Nexiflux 40;Esomeprazole;40;mg;TAB;28;1;263,78;23,74;43,13;330,65;11,81;;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0437;721057002;A02BC;S4;Nexiflux 40;Esomeprazole;40;mg;TAB;14;1;131,89;11,87;21,56;165,32;11,81;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0437;721057003;A02BC;S4;Nexiflux 40;Esomeprazole;40;mg;TAB;30;1;282,57;25,43;46,20;354,19;11,81;;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0438;721061001;A02BC;S4;Nectizole 20;Esomeprazole;20;mg;TAB;30;1;160,72;16,06;26,52;203,30;6,78;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;48/11.4.3/0439;721062001;A02BC;S4;Nectizole 40;Esomeprazole;40;mg;TAB;30;1;239,98;23,99;39,59;303,56;10,12;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;46/5.7.1/0004;721616001;R06AX;S2;Dehrin Solution;Desloratadine;2,5;mg/5ml;SOL;120;1;114,65;8,60;18,49;141,73;1,18;;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;46/5.7.1/0004;721616002;R06AX;S2;Dehrin Solution;Desloratadine;2,5;mg/5ml;SOL;150;1;143,31;10,74;23,11;177,17;1,18;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;46/5.7.1/0004;721616003;R06AX;S2;Dehrin Solution;Desloratadine;2,5;mg/5ml;SOL;60;1;57,32;4,29;9,24;70,86;1,18;;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;46/7.1.3/0231;721629001;C09CA;S3;Abecard 8;Candesartan cilexetil;8;mg;TAB;30;1;110,34;9,58;17,99;137,91;4,60;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;46/7.1.3/0232;721630001;C09CA;S3;Abecard 16;Candesartan cilexetil;16;mg;TAB;30;1;110,34;9,58;17,99;137,91;4,60;01 April 2018;;Generic;
0000001152;Abex Pharmaceutica (Pty) Ltd;46/7.1.3/0233;721631001;C09CA;S3;Abecard 32;Candesartan cilexetil;32;mg;TAB;30;1;110,34;9,58;17,99;137,91;4,60;;;Generic;
